"label","n","parent","id"
"Bolivia",3," Reality TV"," Reality TV  -  Bolivia"
"Bolivia",106," Romance"," Romance  -  Bolivia"
"Bolivia",23," Sci Fi"," Sci Fi  -  Bolivia"
"Bolivia",7," Sport"," Sport  -  Bolivia"
"Bolivia",6," Talk Show"," Talk Show  -  Bolivia"
"Bolivia",52," Thriller"," Thriller  -  Bolivia"
"Bolivia",2," War"," War  -  Bolivia"
"Bolivia",1," Western"," Western  -  Bolivia"
"Brazil",161," Action"," Action  -  Brazil"
"Brazil",2," Adult"," Adult  -  Brazil"
"Brazil",211," Adventure"," Adventure  -  Brazil"
"Brazil",71," Animation"," Animation  -  Brazil"
"Brazil",6," Biography"," Biography  -  Brazil"
"Brazil",200," Comedy"," Comedy  -  Brazil"
"Brazil",110," Crime"," Crime  -  Brazil"
"Brazil",16," Documentary"," Documentary  -  Brazil"
"Brazil",292," Drama"," Drama  -  Brazil"
"Brazil",69," Family"," Family  -  Brazil"
"Brazil",31," Fantasy"," Fantasy  -  Brazil"
"Brazil",6," Film Noir"," Film Noir  -  Brazil"
"Brazil",4," Game Show"," Game Show  -  Brazil"
"Brazil",1," History"," History  -  Brazil"
"Brazil",31," Horror"," Horror  -  Brazil"
"Brazil",20," Music"," Music  -  Brazil"
"Brazil",22," Musical"," Musical  -  Brazil"
"Brazil",45," Mystery"," Mystery  -  Brazil"
"Brazil",11," Reality TV"," Reality TV  -  Brazil"
"Brazil",112," Romance"," Romance  -  Brazil"
"Brazil",20," Sci Fi"," Sci Fi  -  Brazil"
"Brazil",2," Short"," Short  -  Brazil"
"Brazil",12," Sport"," Sport  -  Brazil"
"Brazil",6," Talk Show"," Talk Show  -  Brazil"
"Brazil",56," Thriller"," Thriller  -  Brazil"
"Brazil",2," War"," War  -  Brazil"
"Brazil",2," Western"," Western  -  Brazil"
"Bulgaria",217," Action"," Action  -  Bulgaria"
"Bulgaria",2," Adult"," Adult  -  Bulgaria"
"Bulgaria",126," Adventure"," Adventure  -  Bulgaria"
"Bulgaria",51," Animation"," Animation  -  Bulgaria"
"Bulgaria",9," Biography"," Biography  -  Bulgaria"
"Bulgaria",192," Comedy"," Comedy  -  Bulgaria"
"Bulgaria",114," Crime"," Crime  -  Bulgaria"
"Bulgaria",31," Documentary"," Documentary  -  Bulgaria"
"Bulgaria",297," Drama"," Drama  -  Bulgaria"
"Bulgaria",21," Family"," Family  -  Bulgaria"
"Bulgaria",40," Fantasy"," Fantasy  -  Bulgaria"
"Bulgaria",7," Film Noir"," Film Noir  -  Bulgaria"
