"country_name","genres","n"
"Ecuador","Thriller",64
"Ecuador","War",2
"Egypt","Action",194
"Egypt","Adult",3
"Egypt","Adventure",108
"Egypt","Animation",37
"Egypt","Biography",11
"Egypt","Comedy",181
"Egypt","Crime",113
"Egypt","Documentary",20
"Egypt","Drama",308
"Egypt","Family",15
"Egypt","Fantasy",36
"Egypt","Film-Noir",7
"Egypt","Game-Show",4
"Egypt","History",5
"Egypt","Horror",32
"Egypt","Music",1
"Egypt","Mystery",48
"Egypt","Reality-TV",6
"Egypt","Romance",86
"Egypt","Sci-Fi",30
"Egypt","Short",2
"Egypt","Sport",8
"Egypt","Talk-Show",12
"Egypt","Thriller",69
"Egypt","War",3
"Egypt","Western",2
"El Salvador","Action",138
"El Salvador","Adult",1
"El Salvador","Adventure",104
"El Salvador","Animation",64
"El Salvador","Biography",1
"El Salvador","Comedy",197
"El Salvador","Crime",100
"El Salvador","Documentary",9
"El Salvador","Drama",290
"El Salvador","Family",15
"El Salvador","Fantasy",29
"El Salvador","Film-Noir",4
"El Salvador","History",1
"El Salvador","Horror",28
"El Salvador","Music",33
"El Salvador","Mystery",38
"El Salvador","Reality-TV",2
"El Salvador","Romance",104
"El Salvador","Sci-Fi",20
"El Salvador","Sport",11
"El Salvador","Talk-Show",5
"El Salvador","Thriller",62
"El Salvador","War",2
"Estonia","Action",188
"Estonia","Adult",1
"Estonia","Adventure",126
"Estonia","Animation",52
"Estonia","Biography",12
"Estonia","Comedy",215
"Estonia","Crime",118
"Estonia","Documentary",29
"Estonia","Drama",253
"Estonia","Family",24
"Estonia","Fantasy",43
"Estonia","Film-Noir",7
"Estonia","Game-Show",11
"Estonia","History",1
"Estonia","Horror",33
"Estonia","Music",3
"Estonia","Musical",1
"Estonia","Mystery",58
"Estonia","Reality-TV",18
"Estonia","Romance",75
"Estonia","Sci-Fi",61
"Estonia","Short",4
"Estonia","Sport",11
"Estonia","Talk-Show",6
"Estonia","Thriller",53
"Estonia","War",3
"Estonia","Western",5
"Finland","Action",194
"Finland","Adult",1
"Finland","Adventure",114
"Finland","Animation",57
"Finland","Biography",12
"Finland","Comedy",181
"Finland","Crime",149
"Finland","Documentary",29
"Finland","Drama",317
"Finland","Family",20
"Finland","Fantasy",37
"Finland","Film-Noir",6
"Finland","Game-Show",7
"Finland","History",2
"Finland","Horror",31
"Finland","Music",4
"Finland","Musical",2
"Finland","Mystery",54
"Finland","Reality-TV",14
"Finland","Romance",64
"Finland","Sci-Fi",31
"Finland","Short",5
"Finland","Sport",14
"Finland","Talk-Show",9
"Finland","Thriller",59
"Finland","War",10
"Finland","Western",5
"France","Action",206
"France","Adult",3
"France","Adventure",130
"France","Animation",48
"France","Biography",6
"France","Comedy",156
"France","Crime",155
"France","Documentary",26
"France","Drama",321
"France","Family",16
"France","Fantasy",58
"France","Film-Noir",5
"France","Game-Show",3
"France","History",1
"France","Horror",41
"France","Music",20
"France","Mystery",46
"France","Reality-TV",5
"France","Romance",60
"France","Sci-Fi",54
"France","Short",4
"France","Sport",14
"France","Talk-Show",9
"France","Thriller",78
"France","War",4
"France","Western",5
"Germany","Action",207
"Germany","Adult",2
"Germany","Adventure",158
"Germany","Animation",50
"Germany","Biography",12
"Germany","Comedy",179
"Germany","Crime",150
"Germany","Documentary",25
"Germany","Drama",298
"Germany","Family",50
"Germany","Fantasy",66
"Germany","Film-Noir",6
"Germany","Game-Show",5
"Germany","History",4
"Germany","Horror",42
"Germany","Music",5
"Germany","Mystery",56
"Germany","Reality-TV",7
"Germany","Romance",66
"Germany","Sci-Fi",26
"Germany","Short",4
"Germany","Sport",16
"Germany","Talk-Show",10
"Germany","Thriller",79
"Germany","War",2
"Germany","Western",4
"Greece","Action",190
"Greece","Adult",1
"Greece","Adventure",124
"Greece","Animation",51
"Greece","Biography",6
"Greece","Comedy",175
"Greece","Crime",139
"Greece","Documentary",23
