"parents","n","labels","id"
"Brazil",2," Western","Brazil  -   Western"
"Bulgaria",217," Action","Bulgaria  -   Action"
"Bulgaria",2," Adult","Bulgaria  -   Adult"
"Bulgaria",126," Adventure","Bulgaria  -   Adventure"
"Bulgaria",51," Animation","Bulgaria  -   Animation"
"Bulgaria",9," Biography","Bulgaria  -   Biography"
"Bulgaria",192," Comedy","Bulgaria  -   Comedy"
"Bulgaria",114," Crime","Bulgaria  -   Crime"
"Bulgaria",31," Documentary","Bulgaria  -   Documentary"
"Bulgaria",297," Drama","Bulgaria  -   Drama"
"Bulgaria",21," Family","Bulgaria  -   Family"
"Bulgaria",40," Fantasy","Bulgaria  -   Fantasy"
"Bulgaria",7," Film Noir","Bulgaria  -   Film Noir"
"Bulgaria",10," Game Show","Bulgaria  -   Game Show"
"Bulgaria",2," History","Bulgaria  -   History"
"Bulgaria",29," Horror","Bulgaria  -   Horror"
"Bulgaria",2," Music","Bulgaria  -   Music"
"Bulgaria",46," Mystery","Bulgaria  -   Mystery"
"Bulgaria",14," Reality TV","Bulgaria  -   Reality TV"
"Bulgaria",90," Romance","Bulgaria  -   Romance"
"Bulgaria",37," Sci Fi","Bulgaria  -   Sci Fi"
"Bulgaria",4," Short","Bulgaria  -   Short"
"Bulgaria",16," Sport","Bulgaria  -   Sport"
"Bulgaria",11," Talk Show","Bulgaria  -   Talk Show"
"Bulgaria",56," Thriller","Bulgaria  -   Thriller"
"Bulgaria",3," War","Bulgaria  -   War"
"Bulgaria",5," Western","Bulgaria  -   Western"
"Canada",171," Action","Canada  -   Action"
"Canada",2," Adult","Canada  -   Adult"
"Canada",101," Adventure","Canada  -   Adventure"
"Canada",53," Animation","Canada  -   Animation"
"Canada",13," Biography","Canada  -   Biography"
"Canada",180," Comedy","Canada  -   Comedy"
"Canada",142," Crime","Canada  -   Crime"
"Canada",38," Documentary","Canada  -   Documentary"
"Canada",274," Drama","Canada  -   Drama"
"Canada",17," Family","Canada  -   Family"
"Canada",35," Fantasy","Canada  -   Fantasy"
"Canada",6," Film Noir","Canada  -   Film Noir"
"Canada",11," Game Show","Canada  -   Game Show"
"Canada",3," History","Canada  -   History"
"Canada",36," Horror","Canada  -   Horror"
"Canada",2," Music","Canada  -   Music"
"Canada",59," Mystery","Canada  -   Mystery"
"Canada",28," Reality TV","Canada  -   Reality TV"
"Canada",69," Romance","Canada  -   Romance"
"Canada",31," Sci Fi","Canada  -   Sci Fi"
"Canada",4," Short","Canada  -   Short"
"Canada",15," Sport","Canada  -   Sport"
"Canada",9," Talk Show","Canada  -   Talk Show"
"Canada",69," Thriller","Canada  -   Thriller"
"Canada",6," War","Canada  -   War"
"Canada",2," Western","Canada  -   Western"
"Chile",132," Action","Chile  -   Action"
"Chile",1," Adult","Chile  -   Adult"
"Chile",121," Adventure","Chile  -   Adventure"
"Chile",74," Animation","Chile  -   Animation"
"Chile",3," Biography","Chile  -   Biography"
"Chile",203," Comedy","Chile  -   Comedy"
"Chile",94," Crime","Chile  -   Crime"
"Chile",13," Documentary","Chile  -   Documentary"
"Chile",327," Drama","Chile  -   Drama"
"Chile",16," Family","Chile  -   Family"
"Chile",27," Fantasy","Chile  -   Fantasy"
"Chile",5," Film Noir","Chile  -   Film Noir"
"Chile",3," History","Chile  -   History"
"Chile",30," Horror","Chile  -   Horror"
"Chile",37," Music","Chile  -   Music"
"Chile",42," Mystery","Chile  -   Mystery"
"Chile",2," Reality TV","Chile  -   Reality TV"
"Chile",115," Romance","Chile  -   Romance"
"Chile",18," Sci Fi","Chile  -   Sci Fi"
"Chile",2," Short","Chile  -   Short"
"Chile",11," Sport","Chile  -   Sport"
"Chile",9," Talk Show","Chile  -   Talk Show"
"Chile",57," Thriller","Chile  -   Thriller"
"Chile",3," War","Chile  -   War"
"Chile",2," Western","Chile  -   Western"
"Colombia",145," Action","Colombia  -   Action"
"Colombia",2," Adult","Colombia  -   Adult"
"Colombia",106," Adventure","Colombia  -   Adventure"
"Colombia",61," Animation","Colombia  -   Animation"
"Colombia",3," Biography","Colombia  -   Biography"
"Colombia",196," Comedy","Colombia  -   Comedy"
"Colombia",108," Crime","Colombia  -   Crime"
"Colombia",33," Documentary","Colombia  -   Documentary"
"Colombia",285," Drama","Colombia  -   Drama"
"Colombia",13," Family","Colombia  -   Family"
"Colombia",31," Fantasy","Colombia  -   Fantasy"
"Colombia",4," Film Noir","Colombia  -   Film Noir"
"Colombia",33," Horror","Colombia  -   Horror"
"Colombia",20," Music","Colombia  -   Music"
"Colombia",4," Musical","Colombia  -   Musical"
"Colombia",46," Mystery","Colombia  -   Mystery"
"Colombia",3," Reality TV","Colombia  -   Reality TV"
"Colombia",102," Romance","Colombia  -   Romance"
"Colombia",16," Sci Fi","Colombia  -   Sci Fi"
"Colombia",2," Short","Colombia  -   Short"
"Colombia",10," Sport","Colombia  -   Sport"
"Colombia",7," Talk Show","Colombia  -   Talk Show"
"Colombia",73," Thriller","Colombia  -   Thriller"
"Colombia",2," War","Colombia  -   War"
"Colombia",1," Western","Colombia  -   Western"
"Costa Rica",122," Action","Costa Rica  -   Action"
"Costa Rica",2," Adult","Costa Rica  -   Adult"
"Costa Rica",98," Adventure","Costa Rica  -   Adventure"
"Costa Rica",61," Animation","Costa Rica  -   Animation"
"Costa Rica",4," Biography","Costa Rica  -   Biography"
"Costa Rica",207," Comedy","Costa Rica  -   Comedy"
"Costa Rica",92," Crime","Costa Rica  -   Crime"
"Costa Rica",16," Documentary","Costa Rica  -   Documentary"
"Costa Rica",319," Drama","Costa Rica  -   Drama"
"Costa Rica",19," Family","Costa Rica  -   Family"
"Costa Rica",28," Fantasy","Costa Rica  -   Fantasy"
"Costa Rica",5," Film Noir","Costa Rica  -   Film Noir"
"Costa Rica",1," Game Show","Costa Rica  -   Game Show"
"Costa Rica",32," Horror","Costa Rica  -   Horror"
"Costa Rica",34," Music","Costa Rica  -   Music"
"Costa Rica",42," Mystery","Costa Rica  -   Mystery"
"Costa Rica",4," Reality TV","Costa Rica  -   Reality TV"
"Costa Rica",124," Romance","Costa Rica  -   Romance"
"Costa Rica",16," Sci Fi","Costa Rica  -   Sci Fi"
"Costa Rica",2," Short","Costa Rica  -   Short"
"Costa Rica",13," Sport","Costa Rica  -   Sport"
"Costa Rica",7," Talk Show","Costa Rica  -   Talk Show"
"Costa Rica",66," Thriller","Costa Rica  -   Thriller"
"Costa Rica",2," War","Costa Rica  -   War"
"Costa Rica",1," Western","Costa Rica  -   Western"
"Croatia",167," Action","Croatia  -   Action"
"Croatia",5," Adult","Croatia  -   Adult"
"Croatia",114," Adventure","Croatia  -   Adventure"
"Croatia",53," Animation","Croatia  -   Animation"
"Croatia",8," Biography","Croatia  -   Biography"
"Croatia",211," Comedy","Croatia  -   Comedy"
"Croatia",116," Crime","Croatia  -   Crime"
"Croatia",33," Documentary","Croatia  -   Documentary"
"Croatia",282," Drama","Croatia  -   Drama"
"Croatia",21," Family","Croatia  -   Family"
"Croatia",26," Fantasy","Croatia  -   Fantasy"
"Croatia",8," Film Noir","Croatia  -   Film Noir"
"Croatia",10," Game Show","Croatia  -   Game Show"
"Croatia",5," History","Croatia  -   History"
"Croatia",27," Horror","Croatia  -   Horror"
"Croatia",3," Music","Croatia  -   Music"
"Croatia",48," Mystery","Croatia  -   Mystery"
"Croatia",14," Reality TV","Croatia  -   Reality TV"
"Croatia",83," Romance","Croatia  -   Romance"
"Croatia",15," Sci Fi","Croatia  -   Sci Fi"
"Croatia",4," Short","Croatia  -   Short"
"Croatia",17," Sport","Croatia  -   Sport"
"Croatia",12," Talk Show","Croatia  -   Talk Show"
"Croatia",59," Thriller","Croatia  -   Thriller"
"Croatia",5," War","Croatia  -   War"
"Croatia",5," Western","Croatia  -   Western"
"Cyprus",203," Action","Cyprus  -   Action"
"Cyprus",3," Adult","Cyprus  -   Adult"
"Cyprus",128," Adventure","Cyprus  -   Adventure"
"Cyprus",48," Animation","Cyprus  -   Animation"
"Cyprus",5," Biography","Cyprus  -   Biography"
"Cyprus",191," Comedy","Cyprus  -   Comedy"
"Cyprus",119," Crime","Cyprus  -   Crime"
"Cyprus",24," Documentary","Cyprus  -   Documentary"
"Cyprus",316," Drama","Cyprus  -   Drama"
"Cyprus",25," Family","Cyprus  -   Family"
"Cyprus",29," Fantasy","Cyprus  -   Fantasy"
"Cyprus",5," Film Noir","Cyprus  -   Film Noir"
"Cyprus",8," Game Show","Cyprus  -   Game Show"
"Cyprus",1," History","Cyprus  -   History"
"Cyprus",24," Horror","Cyprus  -   Horror"
"Cyprus",4," Music","Cyprus  -   Music"
"Cyprus",51," Mystery","Cyprus  -   Mystery"
"Cyprus",12," Reality TV","Cyprus  -   Reality TV"
"Cyprus",80," Romance","Cyprus  -   Romance"
"Cyprus",42," Sci Fi","Cyprus  -   Sci Fi"
"Cyprus",4," Short","Cyprus  -   Short"
"Cyprus",15," Sport","Cyprus  -   Sport"
"Cyprus",11," Talk Show","Cyprus  -   Talk Show"
"Cyprus",52," Thriller","Cyprus  -   Thriller"
"Cyprus",4," War","Cyprus  -   War"
"Cyprus",2," Western","Cyprus  -   Western"
"Czech Republic",196," Action","Czech Republic  -   Action"
"Czech Republic",7," Adult","Czech Republic  -   Adult"
"Czech Republic",152," Adventure","Czech Republic  -   Adventure"
"Czech Republic",82," Animation","Czech Republic  -   Animation"
"Czech Republic",13," Biography","Czech Republic  -   Biography"
"Czech Republic",193," Comedy","Czech Republic  -   Comedy"
"Czech Republic",122," Crime","Czech Republic  -   Crime"
"Czech Republic",34," Documentary","Czech Republic  -   Documentary"
"Czech Republic",285," Drama","Czech Republic  -   Drama"
"Czech Republic",22," Family","Czech Republic  -   Family"
"Czech Republic",48," Fantasy","Czech Republic  -   Fantasy"
"Czech Republic",5," Film Noir","Czech Republic  -   Film Noir"
"Czech Republic",12," Game Show","Czech Republic  -   Game Show"
"Czech Republic",4," History","Czech Republic  -   History"
"Czech Republic",32," Horror","Czech Republic  -   Horror"
"Czech Republic",2," Music","Czech Republic  -   Music"
"Czech Republic",53," Mystery","Czech Republic  -   Mystery"
"Czech Republic",16," Reality TV","Czech Republic  -   Reality TV"
"Czech Republic",58," Romance","Czech Republic  -   Romance"
"Czech Republic",12," Sci Fi","Czech Republic  -   Sci Fi"
"Czech Republic",3," Short","Czech Republic  -   Short"
"Czech Republic",16," Sport","Czech Republic  -   Sport"
"Czech Republic",10," Talk Show","Czech Republic  -   Talk Show"
"Czech Republic",46," Thriller","Czech Republic  -   Thriller"
"Czech Republic",3," War","Czech Republic  -   War"
"Czech Republic",4," Western","Czech Republic  -   Western"
"Denmark",182," Action","Denmark  -   Action"
"Denmark",4," Adult","Denmark  -   Adult"
"Denmark",122," Adventure","Denmark  -   Adventure"
"Denmark",58," Animation","Denmark  -   Animation"
"Denmark",14," Biography","Denmark  -   Biography"
"Denmark",189," Comedy","Denmark  -   Comedy"
"Denmark",149," Crime","Denmark  -   Crime"
"Denmark",29," Documentary","Denmark  -   Documentary"
"Denmark",303," Drama","Denmark  -   Drama"
"Denmark",21," Family","Denmark  -   Family"
"Denmark",40," Fantasy","Denmark  -   Fantasy"
"Denmark",5," Film Noir","Denmark  -   Film Noir"
"Denmark",11," Game Show","Denmark  -   Game Show"
"Denmark",3," History","Denmark  -   History"
"Denmark",26," Horror","Denmark  -   Horror"
"Denmark",2," Music","Denmark  -   Music"
"Denmark",55," Mystery","Denmark  -   Mystery"
"Denmark",25," Reality TV","Denmark  -   Reality TV"
"Denmark",77," Romance","Denmark  -   Romance"
"Denmark",25," Sci Fi","Denmark  -   Sci Fi"
"Denmark",3," Short","Denmark  -   Short"
"Denmark",15," Sport","Denmark  -   Sport"
"Denmark",7," Talk Show","Denmark  -   Talk Show"
"Denmark",59," Thriller","Denmark  -   Thriller"
"Denmark",9," War","Denmark  -   War"
"Denmark",7," Western","Denmark  -   Western"
"Dominican Republic",180," Action","Dominican Republic  -   Action"
"Dominican Republic",1," Adult","Dominican Republic  -   Adult"
"Dominican Republic",104," Adventure","Dominican Republic  -   Adventure"
"Dominican Republic",51," Animation","Dominican Republic  -   Animation"
"Dominican Republic",3," Biography","Dominican Republic  -   Biography"
"Dominican Republic",158," Comedy","Dominican Republic  -   Comedy"
"Dominican Republic",117," Crime","Dominican Republic  -   Crime"
"Dominican Republic",15," Documentary","Dominican Republic  -   Documentary"
"Dominican Republic",283," Drama","Dominican Republic  -   Drama"
"Dominican Republic",14," Family","Dominican Republic  -   Family"
"Dominican Republic",38," Fantasy","Dominican Republic  -   Fantasy"
"Dominican Republic",4," Film Noir","Dominican Republic  -   Film Noir"
"Dominican Republic",2," Game Show","Dominican Republic  -   Game Show"
"Dominican Republic",32," Horror","Dominican Republic  -   Horror"
"Dominican Republic",35," Music","Dominican Republic  -   Music"
"Dominican Republic",41," Mystery","Dominican Republic  -   Mystery"
"Dominican Republic",3," Reality TV","Dominican Republic  -   Reality TV"
"Dominican Republic",77," Romance","Dominican Republic  -   Romance"
"Dominican Republic",21," Sci Fi","Dominican Republic  -   Sci Fi"
"Dominican Republic",2," Short","Dominican Republic  -   Short"
"Dominican Republic",11," Sport","Dominican Republic  -   Sport"
"Dominican Republic",5," Talk Show","Dominican Republic  -   Talk Show"
"Dominican Republic",68," Thriller","Dominican Republic  -   Thriller"
"Dominican Republic",2," War","Dominican Republic  -   War"
"Ecuador",146," Action","Ecuador  -   Action"
"Ecuador",1," Adult","Ecuador  -   Adult"
"Ecuador",119," Adventure","Ecuador  -   Adventure"
"Ecuador",70," Animation","Ecuador  -   Animation"
"Ecuador",1," Biography","Ecuador  -   Biography"
"Ecuador",209," Comedy","Ecuador  -   Comedy"
"Ecuador",84," Crime","Ecuador  -   Crime"
"Ecuador",9," Documentary","Ecuador  -   Documentary"
"Ecuador",271," Drama","Ecuador  -   Drama"
"Ecuador",13," Family","Ecuador  -   Family"
"Ecuador",30," Fantasy","Ecuador  -   Fantasy"
"Ecuador",4," Film Noir","Ecuador  -   Film Noir"
"Ecuador",1," History","Ecuador  -   History"
"Ecuador",32," Horror","Ecuador  -   Horror"
"Ecuador",34," Music","Ecuador  -   Music"
"Ecuador",38," Mystery","Ecuador  -   Mystery"
"Ecuador",3," Reality TV","Ecuador  -   Reality TV"
"Ecuador",100," Romance","Ecuador  -   Romance"
"Ecuador",21," Sci Fi","Ecuador  -   Sci Fi"
"Ecuador",11," Sport","Ecuador  -   Sport"
"Ecuador",5," Talk Show","Ecuador  -   Talk Show"
"Ecuador",64," Thriller","Ecuador  -   Thriller"
"Ecuador",2," War","Ecuador  -   War"
"Egypt",194," Action","Egypt  -   Action"
"Egypt",3," Adult","Egypt  -   Adult"
"Egypt",108," Adventure","Egypt  -   Adventure"
"Egypt",37," Animation","Egypt  -   Animation"
"Egypt",11," Biography","Egypt  -   Biography"
"Egypt",181," Comedy","Egypt  -   Comedy"
"Egypt",113," Crime","Egypt  -   Crime"
"Egypt",20," Documentary","Egypt  -   Documentary"
"Egypt",308," Drama","Egypt  -   Drama"
"Egypt",15," Family","Egypt  -   Family"
"Egypt",36," Fantasy","Egypt  -   Fantasy"
"Egypt",7," Film Noir","Egypt  -   Film Noir"
"Egypt",4," Game Show","Egypt  -   Game Show"
"Egypt",5," History","Egypt  -   History"
"Egypt",32," Horror","Egypt  -   Horror"
"Egypt",1," Music","Egypt  -   Music"
"Egypt",48," Mystery","Egypt  -   Mystery"
"Egypt",6," Reality TV","Egypt  -   Reality TV"
"Egypt",86," Romance","Egypt  -   Romance"
"Egypt",30," Sci Fi","Egypt  -   Sci Fi"
"Egypt",2," Short","Egypt  -   Short"
"Egypt",8," Sport","Egypt  -   Sport"
"Egypt",12," Talk Show","Egypt  -   Talk Show"
"Egypt",69," Thriller","Egypt  -   Thriller"
"Egypt",3," War","Egypt  -   War"
"Egypt",2," Western","Egypt  -   Western"
"El Salvador",138," Action","El Salvador  -   Action"
"El Salvador",1," Adult","El Salvador  -   Adult"
"El Salvador",104," Adventure","El Salvador  -   Adventure"
"El Salvador",64," Animation","El Salvador  -   Animation"
"El Salvador",1," Biography","El Salvador  -   Biography"
"El Salvador",197," Comedy","El Salvador  -   Comedy"
"El Salvador",100," Crime","El Salvador  -   Crime"
"El Salvador",9," Documentary","El Salvador  -   Documentary"
"El Salvador",290," Drama","El Salvador  -   Drama"
"El Salvador",15," Family","El Salvador  -   Family"
"El Salvador",29," Fantasy","El Salvador  -   Fantasy"
