"id","n","label","parent"
"total  -   Drama  -  Spain",310,"Spain","total  -   Drama"
"total  -   Fantasy  -  Spain",33,"Spain","total  -   Fantasy"
"total  -   Horror  -  Spain",36,"Spain","total  -   Horror"
"total  -   Mystery  -  Spain",49,"Spain","total  -   Mystery"
"total  -   Romance  -  Spain",97,"Spain","total  -   Romance"
"total  -   Thriller  -  Spain",56,"Spain","total  -   Thriller"
"total  -   Action  -  Sri Lanka",189,"Sri Lanka","total  -   Action"
"total  -   Adventure  -  Sri Lanka",81,"Sri Lanka","total  -   Adventure"
"total  -   Comedy  -  Sri Lanka",191,"Sri Lanka","total  -   Comedy"
"total  -   Crime  -  Sri Lanka",136,"Sri Lanka","total  -   Crime"
"total  -   Drama  -  Sri Lanka",345,"Sri Lanka","total  -   Drama"
"total  -   Fantasy  -  Sri Lanka",32,"Sri Lanka","total  -   Fantasy"
"total  -   Mystery  -  Sri Lanka",78,"Sri Lanka","total  -   Mystery"
"total  -   Romance  -  Sri Lanka",97,"Sri Lanka","total  -   Romance"
"total  -   Sci Fi  -  Sri Lanka",42,"Sri Lanka","total  -   Sci Fi"
"total  -   Thriller  -  Sri Lanka",65,"Sri Lanka","total  -   Thriller"
"total  -   Action  -  Sweden",181,"Sweden","total  -   Action"
"total  -   Adventure  -  Sweden",125,"Sweden","total  -   Adventure"
"total  -   Animation  -  Sweden",56,"Sweden","total  -   Animation"
"total  -   Comedy  -  Sweden",171,"Sweden","total  -   Comedy"
"total  -   Crime  -  Sweden",140,"Sweden","total  -   Crime"
"total  -   Drama  -  Sweden",322,"Sweden","total  -   Drama"
"total  -   Fantasy  -  Sweden",44,"Sweden","total  -   Fantasy"
"total  -   Mystery  -  Sweden",54,"Sweden","total  -   Mystery"
"total  -   Romance  -  Sweden",71,"Sweden","total  -   Romance"
"total  -   Thriller  -  Sweden",58,"Sweden","total  -   Thriller"
"total  -   Action  -  Switzerland",184,"Switzerland","total  -   Action"
"total  -   Adventure  -  Switzerland",125,"Switzerland","total  -   Adventure"
"total  -   Comedy  -  Switzerland",181,"Switzerland","total  -   Comedy"
"total  -   Crime  -  Switzerland",156,"Switzerland","total  -   Crime"
"total  -   Drama  -  Switzerland",314,"Switzerland","total  -   Drama"
"total  -   Family  -  Switzerland",37,"Switzerland","total  -   Family"
"total  -   Fantasy  -  Switzerland",57,"Switzerland","total  -   Fantasy"
"total  -   Mystery  -  Switzerland",59,"Switzerland","total  -   Mystery"
"total  -   Romance  -  Switzerland",82,"Switzerland","total  -   Romance"
"total  -   Thriller  -  Switzerland",60,"Switzerland","total  -   Thriller"
"total  -   Action  -  Taiwan",202,"Taiwan","total  -   Action"
"total  -   Adventure  -  Taiwan",103,"Taiwan","total  -   Adventure"
"total  -   Comedy  -  Taiwan",165,"Taiwan","total  -   Comedy"
"total  -   Crime  -  Taiwan",106,"Taiwan","total  -   Crime"
"total  -   Drama  -  Taiwan",364,"Taiwan","total  -   Drama"
"total  -   Fantasy  -  Taiwan",51,"Taiwan","total  -   Fantasy"
"total  -   Mystery  -  Taiwan",84,"Taiwan","total  -   Mystery"
"total  -   Romance  -  Taiwan",145,"Taiwan","total  -   Romance"
"total  -   Sci Fi  -  Taiwan",44,"Taiwan","total  -   Sci Fi"
"total  -   Thriller  -  Taiwan",62,"Taiwan","total  -   Thriller"
"total  -   Action  -  Thailand",215,"Thailand","total  -   Action"
"total  -   Adventure  -  Thailand",161,"Thailand","total  -   Adventure"
"total  -   Comedy  -  Thailand",208,"Thailand","total  -   Comedy"
"total  -   Crime  -  Thailand",118,"Thailand","total  -   Crime"
"total  -   Drama  -  Thailand",273,"Thailand","total  -   Drama"
"total  -   Fantasy  -  Thailand",58,"Thailand","total  -   Fantasy"
"total  -   Mystery  -  Thailand",64,"Thailand","total  -   Mystery"
"total  -   Romance  -  Thailand",127,"Thailand","total  -   Romance"
"total  -   Sci Fi  -  Thailand",52,"Thailand","total  -   Sci Fi"
"total  -   Thriller  -  Thailand",83,"Thailand","total  -   Thriller"
"total  -   Action  -  Trinidad and Tobago",201,"Trinidad and Tobago","total  -   Action"
"total  -   Adventure  -  Trinidad and Tobago",106,"Trinidad and Tobago","total  -   Adventure"
"total  -   Animation  -  Trinidad and Tobago",53,"Trinidad and Tobago","total  -   Animation"
"total  -   Comedy  -  Trinidad and Tobago",172,"Trinidad and Tobago","total  -   Comedy"
"total  -   Crime  -  Trinidad and Tobago",133,"Trinidad and Tobago","total  -   Crime"
"total  -   Drama  -  Trinidad and Tobago",303,"Trinidad and Tobago","total  -   Drama"
"total  -   Fantasy  -  Trinidad and Tobago",42,"Trinidad and Tobago","total  -   Fantasy"
"total  -   Mystery  -  Trinidad and Tobago",43,"Trinidad and Tobago","total  -   Mystery"
"total  -   Romance  -  Trinidad and Tobago",75,"Trinidad and Tobago","total  -   Romance"
"total  -   Thriller  -  Trinidad and Tobago",93,"Trinidad and Tobago","total  -   Thriller"
"total  -   Action  -  Turkey",209,"Turkey","total  -   Action"
"total  -   Adventure  -  Turkey",119,"Turkey","total  -   Adventure"
"total  -   Comedy  -  Turkey",152,"Turkey","total  -   Comedy"
"total  -   Crime  -  Turkey",134,"Turkey","total  -   Crime"
"total  -   Drama  -  Turkey",372,"Turkey","total  -   Drama"
"total  -   Fantasy  -  Turkey",59,"Turkey","total  -   Fantasy"
"total  -   Horror  -  Turkey",38,"Turkey","total  -   Horror"
"total  -   Mystery  -  Turkey",50,"Turkey","total  -   Mystery"
"total  -   Romance  -  Turkey",71,"Turkey","total  -   Romance"
"total  -   Thriller  -  Turkey",65,"Turkey","total  -   Thriller"
"total  -   Action  -  Ukraine",216,"Ukraine","total  -   Action"
"total  -   Adventure  -  Ukraine",138,"Ukraine","total  -   Adventure"
"total  -   Animation  -  Ukraine",65,"Ukraine","total  -   Animation"
"total  -   Comedy  -  Ukraine",205,"Ukraine","total  -   Comedy"
"total  -   Crime  -  Ukraine",165,"Ukraine","total  -   Crime"
"total  -   Drama  -  Ukraine",306,"Ukraine","total  -   Drama"
"total  -   Horror  -  Ukraine",34,"Ukraine","total  -   Horror"
"total  -   Mystery  -  Ukraine",48,"Ukraine","total  -   Mystery"
"total  -   Romance  -  Ukraine",60,"Ukraine","total  -   Romance"
"total  -   Thriller  -  Ukraine",63,"Ukraine","total  -   Thriller"
"total  -   Action  -  United Arab Emirates",211,"United Arab Emirates","total  -   Action"
"total  -   Adventure  -  United Arab Emirates",119,"United Arab Emirates","total  -   Adventure"
"total  -   Animation  -  United Arab Emirates",37,"United Arab Emirates","total  -   Animation"
"total  -   Comedy  -  United Arab Emirates",169,"United Arab Emirates","total  -   Comedy"
"total  -   Crime  -  United Arab Emirates",135,"United Arab Emirates","total  -   Crime"
"total  -   Drama  -  United Arab Emirates",325,"United Arab Emirates","total  -   Drama"
"total  -   Fantasy  -  United Arab Emirates",45,"United Arab Emirates","total  -   Fantasy"
"total  -   Mystery  -  United Arab Emirates",49,"United Arab Emirates","total  -   Mystery"
"total  -   Romance  -  United Arab Emirates",93,"United Arab Emirates","total  -   Romance"
"total  -   Thriller  -  United Arab Emirates",72,"United Arab Emirates","total  -   Thriller"
"total  -   Action  -  United Kingdom",175,"United Kingdom","total  -   Action"
"total  -   Adventure  -  United Kingdom",139,"United Kingdom","total  -   Adventure"
"total  -   Animation  -  United Kingdom",60,"United Kingdom","total  -   Animation"
"total  -   Comedy  -  United Kingdom",220,"United Kingdom","total  -   Comedy"
"total  -   Crime  -  United Kingdom",104,"United Kingdom","total  -   Crime"
"total  -   Drama  -  United Kingdom",258,"United Kingdom","total  -   Drama"
"total  -   Mystery  -  United Kingdom",39,"United Kingdom","total  -   Mystery"
"total  -   Romance  -  United Kingdom",85,"United Kingdom","total  -   Romance"
"total  -   Sci Fi  -  United Kingdom",37,"United Kingdom","total  -   Sci Fi"
"total  -   Thriller  -  United Kingdom",60,"United Kingdom","total  -   Thriller"
"total  -   Action  -  United States",139,"United States","total  -   Action"
"total  -   Adventure  -  United States",103,"United States","total  -   Adventure"
"total  -   Animation  -  United States",51,"United States","total  -   Animation"
"total  -   Comedy  -  United States",176,"United States","total  -   Comedy"
"total  -   Crime  -  United States",97,"United States","total  -   Crime"
"total  -   Drama  -  United States",259,"United States","total  -   Drama"
"total  -   Horror  -  United States",33,"United States","total  -   Horror"
"total  -   Mystery  -  United States",55,"United States","total  -   Mystery"
"total  -   Romance  -  United States",64,"United States","total  -   Romance"
"total  -   Thriller  -  United States",54,"United States","total  -   Thriller"
"total  -   Action  -  Uruguay",139,"Uruguay","total  -   Action"
"total  -   Adventure  -  Uruguay",102,"Uruguay","total  -   Adventure"
"total  -   Animation  -  Uruguay",47,"Uruguay","total  -   Animation"
"total  -   Comedy  -  Uruguay",170,"Uruguay","total  -   Comedy"
"total  -   Crime  -  Uruguay",139,"Uruguay","total  -   Crime"
"total  -   Drama  -  Uruguay",369,"Uruguay","total  -   Drama"
"total  -   Music  -  Uruguay",37,"Uruguay","total  -   Music"
"total  -   Mystery  -  Uruguay",59,"Uruguay","total  -   Mystery"
"total  -   Romance  -  Uruguay",78,"Uruguay","total  -   Romance"
"total  -   Thriller  -  Uruguay",82,"Uruguay","total  -   Thriller"
"total  -   Action  -  Venezuela",138,"Venezuela","total  -   Action"
"total  -   Adventure  -  Venezuela",76,"Venezuela","total  -   Adventure"
"total  -   Animation  -  Venezuela",38,"Venezuela","total  -   Animation"
"total  -   Comedy  -  Venezuela",181,"Venezuela","total  -   Comedy"
"total  -   Crime  -  Venezuela",116,"Venezuela","total  -   Crime"
"total  -   Drama  -  Venezuela",323,"Venezuela","total  -   Drama"
"total  -   Music  -  Venezuela",31,"Venezuela","total  -   Music"
"total  -   Mystery  -  Venezuela",43,"Venezuela","total  -   Mystery"
"total  -   Romance  -  Venezuela",110,"Venezuela","total  -   Romance"
"total  -   Thriller  -  Venezuela",79,"Venezuela","total  -   Thriller"
"total  -   Action  -  Vietnam",241,"Vietnam","total  -   Action"
"total  -   Adventure  -  Vietnam",157,"Vietnam","total  -   Adventure"
"total  -   Comedy  -  Vietnam",242,"Vietnam","total  -   Comedy"
"total  -   Crime  -  Vietnam",126,"Vietnam","total  -   Crime"
"total  -   Drama  -  Vietnam",341,"Vietnam","total  -   Drama"
"total  -   Fantasy  -  Vietnam",61,"Vietnam","total  -   Fantasy"
"total  -   Mystery  -  Vietnam",58,"Vietnam","total  -   Mystery"
"total  -   Romance  -  Vietnam",119,"Vietnam","total  -   Romance"
"total  -   Sci Fi  -  Vietnam",50,"Vietnam","total  -   Sci Fi"
"total  -   Thriller  -  Vietnam",86,"Vietnam","total  -   Thriller"
