"id","n","label","parent"
"total  -   Adventure  -  Chile",121,"Chile","total  -   Adventure"
"total  -   Animation  -  Chile",74,"Chile","total  -   Animation"
"total  -   Comedy  -  Chile",203,"Chile","total  -   Comedy"
"total  -   Crime  -  Chile",94,"Chile","total  -   Crime"
"total  -   Drama  -  Chile",327,"Chile","total  -   Drama"
"total  -   Music  -  Chile",37,"Chile","total  -   Music"
"total  -   Mystery  -  Chile",42,"Chile","total  -   Mystery"
"total  -   Romance  -  Chile",115,"Chile","total  -   Romance"
"total  -   Thriller  -  Chile",57,"Chile","total  -   Thriller"
"total  -   Action  -  Colombia",145,"Colombia","total  -   Action"
"total  -   Adventure  -  Colombia",106,"Colombia","total  -   Adventure"
"total  -   Animation  -  Colombia",61,"Colombia","total  -   Animation"
"total  -   Comedy  -  Colombia",196,"Colombia","total  -   Comedy"
"total  -   Crime  -  Colombia",108,"Colombia","total  -   Crime"
"total  -   Documentary  -  Colombia",33,"Colombia","total  -   Documentary"
"total  -   Drama  -  Colombia",285,"Colombia","total  -   Drama"
"total  -   Horror  -  Colombia",33,"Colombia","total  -   Horror"
"total  -   Mystery  -  Colombia",46,"Colombia","total  -   Mystery"
"total  -   Romance  -  Colombia",102,"Colombia","total  -   Romance"
"total  -   Thriller  -  Colombia",73,"Colombia","total  -   Thriller"
"total  -   Action  -  Costa Rica",122,"Costa Rica","total  -   Action"
"total  -   Adventure  -  Costa Rica",98,"Costa Rica","total  -   Adventure"
"total  -   Animation  -  Costa Rica",61,"Costa Rica","total  -   Animation"
"total  -   Comedy  -  Costa Rica",207,"Costa Rica","total  -   Comedy"
"total  -   Crime  -  Costa Rica",92,"Costa Rica","total  -   Crime"
"total  -   Drama  -  Costa Rica",319,"Costa Rica","total  -   Drama"
"total  -   Music  -  Costa Rica",34,"Costa Rica","total  -   Music"
"total  -   Mystery  -  Costa Rica",42,"Costa Rica","total  -   Mystery"
"total  -   Romance  -  Costa Rica",124,"Costa Rica","total  -   Romance"
"total  -   Thriller  -  Costa Rica",66,"Costa Rica","total  -   Thriller"
"total  -   Action  -  Croatia",167,"Croatia","total  -   Action"
"total  -   Adventure  -  Croatia",114,"Croatia","total  -   Adventure"
"total  -   Animation  -  Croatia",53,"Croatia","total  -   Animation"
"total  -   Comedy  -  Croatia",211,"Croatia","total  -   Comedy"
"total  -   Crime  -  Croatia",116,"Croatia","total  -   Crime"
"total  -   Documentary  -  Croatia",33,"Croatia","total  -   Documentary"
"total  -   Drama  -  Croatia",282,"Croatia","total  -   Drama"
"total  -   Mystery  -  Croatia",48,"Croatia","total  -   Mystery"
"total  -   Romance  -  Croatia",83,"Croatia","total  -   Romance"
"total  -   Thriller  -  Croatia",59,"Croatia","total  -   Thriller"
"total  -   Action  -  Cyprus",203,"Cyprus","total  -   Action"
"total  -   Adventure  -  Cyprus",128,"Cyprus","total  -   Adventure"
"total  -   Animation  -  Cyprus",48,"Cyprus","total  -   Animation"
"total  -   Comedy  -  Cyprus",191,"Cyprus","total  -   Comedy"
"total  -   Crime  -  Cyprus",119,"Cyprus","total  -   Crime"
"total  -   Drama  -  Cyprus",316,"Cyprus","total  -   Drama"
"total  -   Mystery  -  Cyprus",51,"Cyprus","total  -   Mystery"
"total  -   Romance  -  Cyprus",80,"Cyprus","total  -   Romance"
"total  -   Sci Fi  -  Cyprus",42,"Cyprus","total  -   Sci Fi"
